112| los bromazos del jefe | III - 1971 | 78pp
113| zancadillas <<a gogó>> | III - 1971 | 78pp
114| travesuras hasta el tope | III - 1971 | 78pp
115| reprimenda inmerecida | III - 1971 | 78pp
116| del servicio secreto | III - 1971 | 78pp
117| siempre en guardia | III - 1971 | 78pp
118| brillantes examenes | III - 1971 | 78pp
119| sus casos tremebundos | III - 1971 | 78pp
120| vacaciones de perros | III - 1971 | 78pp
121| solos ante el peligro | III - 1971 | 78pp
122| peripecias sin fin | III - 1971 | 78pp
123| travesuras en común | III - 1971 | 78pp
124|" los agentes de la ""tia"" "| III - 1971 | 78pp
125| ¡vaya par de angelitos! | III - 1971 | 78pp
126| ¡qué vida tan tremenda! | III - 1971 | 78pp
127| torbellinos en acción | III - 1971 | 78pp
128| el caso del calcetín | III - 1971 | 78pp
129| un, dos, tres... travesuras otra vez | III - 1971 | 78pp
130| El brujo | III - 1971 | 78pp
131| una pareja de alivio | III - 1971 | 78pp
132| el terror de la oficina | III - 1971 | 78pp
133| ¡alarma! ¡alarma! ¡que vienen! | III - 1971 | 78pp
134| ¡vaya par de majaretas! | III - 1971 | 78pp
135| siempre causando problemas | III - 1971 | 78pp
136| se acabó la tranquilidad | III - 1971 | 78pp
137| de lío en lío | III - 1971 | 78pp
138| huracán de carcajadas | III - 1971 | 78pp
139| ¡al rico disparate! | III - 1971 | 78pp
140| trastadas a mansalva | III - 1971 | 78pp
141| ¡soborno! | III - 1971 | 78pp
142| cada día más locuelos | III - 1971 | 78pp
143| investigando, a la chita callando | III - 1971 | 78pp
144| misiones turulatas | III - 1971 | 78pp
145| los guardaespaldas | III - 1971 | 78pp
146| ¡vaya par de chiflados! | III - 1971 | 78pp
147| los insobornables | III - 1971 | 78pp
148| misión alucinante | III - 1971 | 78pp
149|" un ""mundial 78"", que sale bastante pocho "| III - 1971 | 78pp
150| despiste inoportuno | III - 1971 | 78pp
151|  | III - 1971 | 78pp
152|  | III - 1971 | 78pp
153|  | III - 1971 | 78pp
154|  | III - 1971 | 78pp
155|  | III - 1971 | 78pp
156|  | III - 1971 | 78pp
157|  | III - 1971 | 78pp
158|  | III - 1971 | 78pp
159|  | III - 1971 | 78pp
160|  | III - 1971 | 78pp
161|  | III - 1971 | 78pp
162|  | III - 1971 | 78pp
163|  | III - 1971 | 78pp
164|  | III - 1971 | 78pp
165|  | III - 1971 | 78pp
166|  | III - 1971 | 78pp
167|  | III - 1971 | 78pp
168|  | III - 1971 | 78pp
169|  | III - 1971 | 78pp
170|  | III - 1971 | 78pp
171|  | III - 1971 | 78pp
172|  | III - 1971 | 78pp
173| el túnel del tiempo | III - 1971 | 78pp
174| investigación azarosa | III - 1971 | 78pp
175| moscones a reacción | III - 1971 | 78pp
176| viaje accidentado | III - 1971 | 78pp
177| dos fierecillas de aúpa | III - 1971 | 78pp
178|los bomberos | III - 1971 | 78pp
179| una torta en cada esquina | III - 1971 | 78pp
180| mami, vamos a ser buenos | III - 1971 | 78pp
181| gamberretes cien por cien | III - 1971 | 78pp
182|el transformador metabólico | III - 1971 | 78pp
183|plan infalible | III - 1971 | 78pp
184| aluvión de diabluras | III - 1971 | 78pp
185| zafarrancho de trastadas | III - 1971 | 78pp
186| maratón de carcajadas | III - 1971 | 78pp
187|" esto ya es ""demasié"" "| III - 1971 | 78pp
188| dos locuelos de atar | III - 1971 | 78pp
189| se acabaron las travesuras | III - 1971 | 78pp
190| dos picarones de aupa | III - 1971 | 78pp
191| pilotos a la fuerza | III - 1971 | 78pp
192| ¡cuidado con la t.i.a.! | III - 1971 | 78pp
193|" los ángeles del ""super"" "| III - 1971 | 78pp
194| a mamporro diario | III - 1971 | 78pp
195| olimpiada 1980 | III - 1971 | 78pp
196| dos batidos de dinamita | III - 1971 | 78pp
197| mellizos de armas tomar | III - 1971 | 78pp
198| atacando al objetivo | III - 1971 | 78pp
199|" persiguiendo al ""caco"" "| III - 1971 | 78pp
200| dos pequeñajos de cuidado | III - 1971 | 78pp
201| granujillas incorregibles | III - 1971 | 78pp
202| siguiendo la pista | III - 1971 | 78pp
203| sin novedad en la t.i.a. | III - 1971 | 78pp
204|" obedeciendo al ""super"" "| III - 1971 | 78pp
205| no fallan una | III - 1971 | 78pp
206|" agentes de ""altos vuelos"" "| III - 1971 | 78pp
207| operación en marcha | III - 1971 | 78pp
208| siempre en vilo | III - 1971 | 78pp
209| quimérica misión | III - 1971 | 78pp
210| dos diablillos de aupa | III - 1971 | 78pp
211| pillastres sin tregua | III - 1971 | 78pp
212| no ganan para pupas | III - 1971 | 78pp
213| ¡valientes batracios! | III - 1971 | 78pp
214| dos detectives explosivos | III - 1971 | 78pp
215| novedades en la t.i.a. | III - 1971 | 78pp
216| pronosticos contundentes | III - 1971 | 78pp
217| un planchazo tras otro | III - 1971 | 78pp
218| misiones de altura | III - 1971 | 78pp
219| cuarenta y cinco desatinos por minuto | III - 1971 | 78pp
220| dos pilletes redomados | III - 1971 | 78pp
221| peor que dos vendavales | III - 1971 | 78pp
222| dos sabuesos en apuros | III - 1971 | 78pp
