1975|6|23|"SSAC 01"|"??"|"??"|"??"|"??"|"SSAC"
1976|3|8|"SSAC 02"|"??"|"??"|"??"|"??"|"SSAC"
1976|4|12|"SSAC 03"|"??"|"??"|"??"|"??"|"SSAC"
1976|5|17|"SSAC 04"|"??"|"??"|"??"|"??"|"SSAC"
1976|6|21|"SSAC 05"|"??"|"??"|"??"|"??"|"SSAC"
1976|7|26|"SSAC 06"|"??"|"??"|"??"|"??"|"SSAC"
1976|8|30|"SSAC 07"|"??"|"??"|"??"|"??"|"SSAC"
1976|10|11|"SSAC 08"|"??"|"??"|"??"|"??"|"SSAC"
1976|11|22|"SSAC 09"|"??"|"??"|"??"|"??"|"SSAC"
1976|12|20|"SSAC 10"|"??"|"??"|"??"|"??"|"SSAC"
1977|1|24|"SSAC 11"|"??"|"??"|"??"|"??"|"SSAC"
1977|2|21|"SSAC 12"|"??"|"??"|"??"|"??"|"SSAC"
1977|3|21|"SSAC 13"|"??"|"??"|"??"|"??"|"SSAC"
1977|4|18|"SSAC 14"|"??"|"??"|"??"|"??"|"SSAC"
1977|5|16|"SSAC 15"|"??"|"??"|"??"|"??"|"SSAC"
1977|6|20|"SSAC 16"|"??"|"??"|"??"|"??"|"SSAC"
1977|7|18|"SSAC 17"|"??"|"??"|"??"|"??"|"SSAC"
1977|8|15|"SSAC 18"|"??"|"??"|"??"|"??"|"SSAC"
1977|9|19|"SSAC 19"|"??"|"??"|"??"|"??"|"SSAC"
1977|10|17|"SSAC 20"|"??"|"??"|"??"|"??"|"SSAC"
1977|11|21|"SSAC 21"|"??"|"??"|"??"|"??"|"SSAC"
1977|12|19|"SSAC 22"|"??"|"??"|"??"|"??"|"SSAC"
1978|1|16|"SSAC 23"|"??"|"??"|"??"|"??"|"SSAC"
1978|2|20|"SSAC 24"|"??"|"??"|"??"|"??"|"SSAC"
1978|3|20|"SSAC 25"|"??"|"??"|"??"|"??"|"SSAC"
1978|4|17|"SSAC 26"|"??"|"??"|"??"|"??"|"SSAC"
1978|5|15|"SSAC 27"|"??"|"??"|"??"|"??"|"SSAC"
1978|6|19|"SSAC 28"|"??"|"??"|"??"|"??"|"SSAC"
1978|7|17|"SSAC 29"|"??"|"??"|"??"|"??"|"SSAC"
1978|8|21|"SSAC 30"|"??"|"??"|"??"|"??"|"SSAC"
1978|9|18|"SSAC 31"|"??"|"??"|"??"|"??"|"SSAC"
1978|10|16|"SSAC 32"|"??"|"??"|"??"|"??"|"SSAC"
