PULGARCITO  42 (21/12/1981) 19811221|Pág 74-78| Fix y Foxi Sin título1 Las lentes 107598 Rolf Kauka; Erich Pabel Verlag|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 79| Anuncio MilkMate|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 80-83| Cinco Amiguetes Sin título1 El sueño de los tres tapones Jaume Rovira|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 84-88| Genaro Genial, inventor fenomenal Sin título1 Abono sensacional 106537 Sin título2 El Bedel Educado Western Publishing; Metro Goldwyn Mayer|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 89-93| El Profesor Tragacanto Letra impagada Martz-Schmidt|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 94-98| Pablito Sin título1 Coche Averiado 106809 Sin título2 El Bedel Educado Rolf Kauka; Erich Pabel Verlag|||
PULGARCITO  42 (21/12/1981) 19811221|Pág 99| Pasatiempos Pitufo Olímpico 00136 Cervantes|||
PULGARCITO  42 (21/12/1981) 19811221|Portada| Pulgarcito Medianoche Estrella de Navidad Jan|||
Pulgarcito 01 (2 marz 1981)|pag02| pasatiempos (fix y foxy) y cuadro de revista|||
Pulgarcito 01 (2 marz 1981)|pag02| pasatiempos (fix y foxy) y cuadro de revista|||
Pulgarcito 01 (2 marz 1981)|pag03-14|" Pulgarcito ""La Clase Chupada"""|||
Pulgarcito 01 (2 marz 1981)|pag03-14|" Pulgarcito ""La Clase Chupada"""|||
Pulgarcito 01 (2 marz 1981)|pag100| Publicidad Pulgarcito (tom y jerry)|||
Pulgarcito 01 (2 marz 1981)|pag100| Publicidad Pulgarcito (tom y jerry) |||
Pulgarcito 01 (2 marz 1981)|pag15-28|" Tom y Jerry ""La guitarra mágica"" (1ª parte)"|||
Pulgarcito 01 (2 marz 1981)|pag15-28|" Tom y Jerry ""La guitarra mágica"" (1ª parte)"|||
Pulgarcito 01 (2 marz 1981)|pag29| pasatiempos (Bermudillo)|||
